ID   run   CS_ID   CS_SIDE   CS_ALL   ratings 
24   02   deval   CSpL   deval_L  8.474576e+00
24   03   val   CSpR   val_R  6.271186e+01
24   03   deval   CSpR   deval_R  50
24   03   val   CSpL   val_L  6.186441e+01
24   03   deval   CSpL   deval_L  8.474576e+00
24   03   CSmi   CSmi   CSmi  6.610169e+01
25   01   val   CSpL   val_L  4.491525e+01
25   01   val   CSpR   val_R  5.847458e+01
25   01   deval   CSpR   deval_R  7.542373e+01
25   01   deval   CSpL   deval_L  6.779661e+01
25   01   CSmi   CSmi   CSmi  2.711864e+01
25   02   deval   CSpL   deval_L  7.288136e+01
25   02   CSmi   CSmi   CSmi  2.288136e+01
25   02   deval   CSpR   deval_R  7.457627e+01
25   02   val   CSpR   val_R  3.983051e+01
25   02   val   CSpL   val_L  2.288136e+01
25   03   deval   CSpR   deval_R  6.949153e+01
25   03   val   CSpR   val_R  5.508475e+01
25   03   deval   CSpL   deval_L  7.118644e+01
25   03   val   CSpL   val_L  3.644068e+01
25   03   CSmi   CSmi   CSmi  2.881356e+01
26   01   deval   CSpL   deval_L  3.813559e+01
26   01   deval   CSpR   deval_R  3.813559e+01
26   01   val   CSpR   val_R  7.881356e+01
26   01   val   CSpL   val_L  6.271186e+01
26   01   CSmi   CSmi   CSmi  2.372881e+01
26   02   val   CSpL   val_L  3.898305e+01
26   02   CSmi   CSmi   CSmi  2.881356e+01
26   02   val   CSpR   val_R  6.355932e+01
26   02   deval   CSpR   deval_R  6.355932e+01
26   02   deval   CSpL   deval_L  50
26   03   val   CSpR   val_R  6.610169e+01
26   03   deval   CSpR   deval_R  3.644068e+01
26   03   val   CSpL   val_L  3.813559e+01
26   03   deval   CSpL   deval_L  3.220339e+01
26   03   CSmi   CSmi   CSmi  2.288136e+01
27   01   val   CSpL   val_L  7.118644e+01
27   01   val   CSpR   val_R  6.101695e+01
27   01   deval   CSpR   deval_R  8.389831e+01
27   01   deval   CSpL   deval_L  6.101695e+01
27   01   CSmi   CSmi   CSmi  4.915254e+01
27   02   deval   CSpL   deval_L  6.779661e+01
27   02   CSmi   CSmi   CSmi  3.559322e+01
27   02   deval   CSpR   deval_R  8.389831e+01
27   02   val   CSpR   val_R  50
27   02   val   CSpL   val_L  7.203390e+01
27   03   val   CSpL   val_L  6.271186e+01
27   03   deval   CSpL   deval_L  7.457627e+01
27   03   val   CSpR   val_R  3.813559e+01
27   03   CSmi   CSmi   CSmi  2.627119e+01
27   03   deval   CSpR   deval_R  5.762712e+01
28   01   deval   CSpL   deval_L  5.847458e+01
28   01   deval   CSpR   deval_R  7.457627e+01
28   01   val   CSpR   val_R  50
28   01   val   CSpL   val_L  6.271186e+01
28   01   CSmi   CSmi   CSmi  2.796610e+01
28   02   val   CSpL   val_L  6.101695e+01
28   02   CSmi   CSmi   CSmi  3.559322e+01
28   02   val   CSpR   val_R  5.593220e+01
28   02   deval   CSpR   deval_R  7.372881e+01
28   02   deval   CSpL   deval_L  50
28   03   val   CSpR   val_R  6.694915e+01
28   03   deval   CSpR   deval_R  4.152542e+01
28   03   val   CSpL   val_L  6.525424e+01
28   03   deval   CSpL   deval_L  3.389831e+01
28   03   CSmi   CSmi   CSmi  50
29   01   val   CSpL   val_L  6.610169e+01
29   01   val   CSpR   val_R  50
29   01   deval   CSpR   deval_R  7.711864e+01
29   01   deval   CSpL   deval_L  9.152542e+01
29   01   CSmi   CSmi   CSmi  9.152542e+01
29   02   deval   CSpL   deval_L  7.118644e+01
29   02   CSmi   CSmi   CSmi  8.220339e+01
29   02   deval   CSpR   deval_R  7.966102e+01
29   02   val   CSpR   val_R  3.474576e+01
29   02   val   CSpL   val_L  7.033898e+01
29   03   deval   CSpR   deval_R  3.474576e+01
29   03   val   CSpR   val_R  5.932203e+01
29   03   deval   CSpL   deval_L  6.016949e+01
29   03   val   CSpL   val_L  7.711864e+01
29   03   CSmi   CSmi   CSmi  8.983051e+01
30   01   CSmi   CSmi   CSmi  2.288136e+01
30   01   deval   CSpL   deval_L  5.847458e+01
30   01   deval   CSpR   deval_R  5.932203e+01
30   01   val   CSpL   val_L  7.372881e+01
30   01   val   CSpR   val_R  9.152542e+01
30   02   val   CSpL   val_L  5.593220e+01
30   02   CSmi   CSmi   CSmi  2.203390e+01
30   02   val   CSpR   val_R  8.644068e+01
30   02   deval   CSpR   deval_R  7.796610e+01
30   02   deval   CSpL   deval_L  7.033898e+01
30   03   deval   CSpL   deval_L  3.135593e+01
30   03   CSmi   CSmi   CSmi  8.474576e+00
30   03   deval   CSpR   deval_R  4.067797e+01
30   03   val   CSpR   val_R  8.644068e+01
30   03   val   CSpL   val_L  7.203390e+01
